call_id,primary_call_reason,Primary_call_reason2
3494281557,Seating,Seating
7488458159,IRROPS,IRROPS
2845747512,Products & Services,Products & Services
4126649116,Voluntary   Change,Voluntary Change
691446525,Post Flight,Post Flight
8824481397,Communications,Communications
3703662675,Seating,Seating
5466016706,Mileage   Plus,Mileage Plus
2894499901,IRROPS,IRROPS
3817230689,Post Flight,Post Flight
3182938486,Mileage   Plus,Mileage Plus
3397199569,IRROPS,IRROPS
7836953676,Post Flight,Post Flight
6627861747,Communications,Communications
4886165173,Post Flight,Post Flight
8239912427,Mileage   Plus,Mileage Plus
8691681579,IRROPS,IRROPS
6498077982,Voluntary   Change,Voluntary Change
815115244,IRROPS,IRROPS
1162237184,Mileage   Plus,Mileage Plus
3723048188, Baggage,Baggage
1286275736,Seating,Seating
4155225595,Mileage   Plus,Mileage Plus
9310693795,Seating,Seating
5120262550,Voluntary   Change,Voluntary Change
4963458977,Communications,Communications
4458776244,Seating,Seating
6865223937,IRROPS,IRROPS
2221555263,IRROPS,IRROPS
7593460378,Voluntary   Change,Voluntary Change
5555212163,Traveler  Updates,Traveler Updates
5633809296,IRROPS,IRROPS
9748102747,IRROPS,IRROPS
2457729996,Communications,Communications
9452610855,Voluntary   Change,Voluntary Change
3628122319,Booking,Booking
8966807387,Voluntary   Change,Voluntary Change
355940870,Checkout,Checkout
3266080628,Upgrade,Upgrade
9426822806,IRROPS,IRROPS
2150175631,Checkout,Checkout
5892797648,IRROPS,IRROPS
5842119015,Seating,Seating
6308193786,Upgrade,Upgrade
6964421535,Voluntary   Change,Voluntary Change
6794219624,Mileage   Plus,Mileage Plus
9993775527,IRROPS,IRROPS
5450426391,IRROPS,IRROPS
2018280855,Voluntary   Change,Voluntary Change
915962130,Seating,Seating
7127665247,Voluntary   Change,Voluntary Change
3666446277,Digital   Support,Digital Support
8984455291,Checkout,Checkout
1525233923,Upgrade,Upgrade
5431519237,Voluntary   Change,Voluntary Change
4346744236,IRROPS,IRROPS
4816340535,IRROPS,IRROPS
4809910796,Booking,Booking
5217078198,Checkout,Checkout
367804319,Voluntary  Cancel,Voluntary Cancel
972292759,Booking,Booking
4675010716, Baggage,Baggage
8614154068,Traveler  Updates,Traveler Updates
6186829781,Products & Services,Products & Services
9216262244,IRROPS,IRROPS
9761028950,Voluntary   Change,Voluntary Change
3766236397,Mileage   Plus,Mileage Plus
2593524963,IRROPS,IRROPS
3384912975,Post Flight,Post Flight
2049935935,IRROPS,IRROPS
2684115029,Upgrade,Upgrade
585740895,Seating,Seating
4124838721,IRROPS,IRROPS
4143899688,Seating,Seating
5888839821,Voluntary  Cancel,Voluntary Cancel
5887855579,Mileage   Plus,Mileage Plus
2328809947,Booking,Booking
2258976474,Products & Services,Products & Services
9493952202,IRROPS,IRROPS
8350670977,Mileage   Plus,Mileage Plus
998095929,IRROPS,IRROPS
5974121962,IRROPS,IRROPS
5702105939,Post Flight,Post Flight
4808821794,Products & Services,Products & Services
471919827,Seating,Seating
8245792247,IRROPS,IRROPS
3326242904,Voluntary   Change,Voluntary Change
625472288,IRROPS,IRROPS
529250087,Booking,Booking
369511808,Post Flight,Post Flight
1790444108,Seating,Seating
9275253129,IRROPS  ,IRROPS
3063375824,Post Flight,Post Flight
3857653673,Mileage   Plus,Mileage Plus
8567122492,IRROPS,IRROPS
8487711690,Seating,Seating
1865141600, Baggage,Baggage
186231552,IRROPS,IRROPS
1356740595, Baggage,Baggage
3339020161,Check In,Check In
9795806060,IRROPS,IRROPS
2338361322,Checkout,Checkout
7043032013,Voluntary   Change,Voluntary Change
5678060132,IRROPS,IRROPS
9049645827,Seating,Seating
345016507,Communications  ,Communications
8984018889,Voluntary   Change,Voluntary Change
6761810180,Post Flight,Post Flight
1467423538,Communications,Communications
3994254298,Voluntary   Change,Voluntary Change
800257006,IRROPS,IRROPS
7458094693,Communications,Communications
2764587410,Seating,Seating
7784917409,Voluntary   Change,Voluntary Change
1841063213,IRROPS,IRROPS
9605740557,Voluntary   Change,Voluntary Change
9796254073,Communications,Communications
3794126636,Seating,Seating
1940316635,Voluntary   Change,Voluntary Change
9252806416,Voluntary  Cancel,Voluntary Cancel
7096455143,Voluntary  Cancel,Voluntary Cancel
9424672408,Voluntary  Cancel,Voluntary Cancel
7841630165,Upgrade,Upgrade
7647377134,Voluntary   Change,Voluntary Change
6445984989,IRROPS,IRROPS
1090870234,Mileage   Plus,Mileage Plus
7130234576,Seating,Seating
4593315374,Schedule Change,Schedule Change
2637809196,Booking,Booking
2096708473,Voluntary   Change,Voluntary Change
7689704398,Mileage   Plus,Mileage Plus
6655849241,IRROPS,IRROPS
5401438897,Post Flight,Post Flight
9388435740,Voluntary   Change,Voluntary Change
6626993147,Seating,Seating
7655517504,Checkout,Checkout
3145934504,Voluntary   Change,Voluntary Change
5123350455,Seating,Seating
9042144641,IRROPS,IRROPS
5551744814,Seating,Seating
9653347069,Checkout,Checkout
6720432788,Seating,Seating
4330005094,IRROPS,IRROPS
2109938587, Baggage,Baggage
8804527058,Voluntary   Change,Voluntary Change
750943900,Voluntary   Change,Voluntary Change
8139162586,Voluntary  Cancel,Voluntary Cancel
6803900104,Traveler  Updates,Traveler Updates
9951665354,Digital   Support,Digital Support
2095470727,Mileage   Plus,Mileage Plus
8935422797,Seating,Seating
6062040810,Post Flight,Post Flight
268434877,Seating  ,Seating
4069730994,Checkout,Checkout
2270967234,Mileage   Plus,Mileage Plus
8525506359,Upgrade,Upgrade
438834035,Products & Services,Products & Services
7064050810,IRROPS,IRROPS
1115998471,Voluntary   Change,Voluntary Change
5997532308,Voluntary   Change,Voluntary Change
8282302308,IRROPS,IRROPS
3309013108,Products & Services,Products & Services
949356313,Post Flight,Post Flight
1023834783,Digital   Support,Digital Support
4573865210,Products & Services,Products & Services
7879984493,IRROPS,IRROPS
5973540535,Check In,Check In
7472389791,Booking,Booking
8136376492,Seating,Seating
6185985485,IRROPS,IRROPS
7686758694,Voluntary   Change,Voluntary Change
299696522,Voluntary   Change,Voluntary Change
1453349038,IRROPS,IRROPS
2967505967,Digital   Support,Digital Support
8994453170,Voluntary   Change,Voluntary Change
2394617095,ETC,ETC
2232566071,Voluntary   Change,Voluntary Change
6966145801,IRROPS,IRROPS
9492238308,Seating,Seating
9354619428,Traveler  Updates,Traveler Updates
549811816,IRROPS,IRROPS
9172030030,IRROPS,IRROPS
2441100841,Voluntary   Change,Voluntary Change
236200708,Communications,Communications
1327030172, Baggage,Baggage
952819626,Upgrade,Upgrade
5985306243,Voluntary  Cancel,Voluntary Cancel
3733146045,IRROPS,IRROPS
2835288734,Check In,Check In
7995645761,IRROPS,IRROPS
2868853212,Disability,Disability
8230012626,Voluntary   Change,Voluntary Change
6933302571,Mileage   Plus,Mileage Plus
485976349,Post Flight,Post Flight
3105257948,Voluntary   Change,Voluntary Change
8202367642,IRROPS,IRROPS
9010341069,Voluntary   Change,Voluntary Change
8417820699,Products & Services,Products & Services
1950793040,Mileage   Plus,Mileage Plus
2306900525,Post Flight,Post Flight
9231392705,IRROPS  ,IRROPS
8577275427,Mileage   Plus,Mileage Plus
5404690471,Booking,Booking
3130119205,Booking,Booking
1671923425,Voluntary   Change,Voluntary Change
6758926619,IRROPS,IRROPS
6223201600,Post Flight,Post Flight
8420443366,Booking,Booking
2905834995,Mileage   Plus,Mileage Plus
3041785914,Voluntary   Change,Voluntary Change
9101509647,Mileage   Plus,Mileage Plus
9864602260,IRROPS,IRROPS
3490105367,Voluntary   Change,Voluntary Change
4760241752,Seating,Seating
6218069933,Upgrade,Upgrade
8535860643,Traveler  Updates,Traveler Updates
1169068270,Disability,Disability
5038767938,Voluntary   Change,Voluntary Change
8511714437,Booking,Booking
8466115310,Voluntary   Change,Voluntary Change
5696358332,Checkout,Checkout
846754772,IRROPS,IRROPS
6686149196,Booking,Booking
1409564740,Voluntary   Change,Voluntary Change
1611351833,Other  Topics,Other Topics
3287832914, Baggage,Baggage
5600353623,Seating,Seating
663217147,Digital   Support,Digital Support
427079885, Baggage,Baggage
8485536310,Voluntary   Change,Voluntary Change
9595071536,Voluntary   Change,Voluntary Change
7119272785,IRROPS,IRROPS
5339333381,Voluntary   Change,Voluntary Change
7614907728,Post Flight,Post Flight
3604539305,Unaccompanied Minor,Unaccompanied Minor
5534843325, Baggage,Baggage
8276695280,IRROPS,IRROPS
687556900, Baggage,Baggage
5466287134,Mileage   Plus,Mileage Plus
1253621904,Seating,Seating
3789748403,Post Flight,Post Flight
4970876319,ETC,ETC
9828738615,IRROPS,IRROPS
7081137526,Seating,Seating
4934241471,Products & Services,Products & Services
1590339143,Seating,Seating
9709475383,Voluntary   Change,Voluntary Change
1462589917,Post Flight,Post Flight
2643601418,IRROPS,IRROPS
1057239242,Post Flight,Post Flight
2978905220,Voluntary   Change,Voluntary Change
4222898900,Voluntary   Change,Voluntary Change
3125638637,IRROPS,IRROPS
14764275,Mileage   Plus,Mileage Plus
7964383770,Checkout,Checkout
8239277807,Post Flight,Post Flight
5928177354,IRROPS,IRROPS
2929358043,Other  Topics,Other Topics
3787467796,Communications,Communications
2442834385,Voluntary  Cancel,Voluntary Cancel
7482936234,Voluntary   Change,Voluntary Change
2057129972,Voluntary  Cancel,Voluntary Cancel
4107382830,IRROPS,IRROPS
3893107295,Mileage   Plus,Mileage Plus
9929777947,Voluntary   Change,Voluntary Change
7610691428,Voluntary   Change,Voluntary Change
705688661,Voluntary   Change,Voluntary Change
4570026865,Voluntary   Change,Voluntary Change
4061527463,Upgrade,Upgrade
9104935345,IRROPS,IRROPS
5454921383,Voluntary   Change,Voluntary Change
7244942091,IRROPS,IRROPS
499739773,IRROPS,IRROPS
1983643964,IRROPS,IRROPS
4310184216,Upgrade,Upgrade
90535132,Seating,Seating
1448159038,Digital   Support,Digital Support
2957601500,Voluntary   Change,Voluntary Change
5979620121,Products & Services,Products & Services
356494474,Communications,Communications
8753344381,Other  Topics,Other Topics
3721722419,Voluntary   Change,Voluntary Change
7882064642,Communications,Communications
7161945208,Post Flight,Post Flight
7191631027,IRROPS,IRROPS
8695597728,Checkout,Checkout
301377921,IRROPS,IRROPS
4887800277,Check In,Check In
1832311010,IRROPS,IRROPS
2607595464,Voluntary   Change,Voluntary Change
5470656030,Disability,Disability
1256639207,Voluntary   Change,Voluntary Change
6566436487, Baggage,Baggage
6670386239,Communications,Communications
674943032,Check In,Check In
9708935303,Booking,Booking
3492978583,Communications,Communications
2882870170,Voluntary   Change,Voluntary Change
9650167769,Check In,Check In
1006836028,Traveler  Updates,Traveler Updates
4957177862,IRROPS,IRROPS
9046868048, Baggage,Baggage
4350015240, Baggage,Baggage
2835524012, Baggage,Baggage
2985864921,IRROPS,IRROPS
9844811794,Checkout,Checkout
73275311,Post Flight,Post Flight
3299505695,IRROPS,IRROPS
9842293950,IRROPS,IRROPS
559792899,IRROPS,IRROPS
2616214505,Communications,Communications
9773233639,Voluntary   Change,Voluntary Change
7832870294,IRROPS,IRROPS
2504838636,Products & Services,Products & Services
3709853620,Post Flight,Post Flight
2910371853,IRROPS,IRROPS
5231622330,Seating,Seating
6455833257,IRROPS,IRROPS
5447500829,Schedule Change,Schedule Change
2542830760,Communications,Communications
8354795813,Voluntary  Cancel,Voluntary Cancel
2906538157,ETC,ETC
2544893996,Voluntary   Change,Voluntary Change
1478363853,Upgrade,Upgrade
6280508057,Communications,Communications
2350236185,IRROPS,IRROPS
2000016087,Voluntary   Change,Voluntary Change
8569640234,IRROPS,IRROPS
7313285309,Voluntary   Change,Voluntary Change
9058710722,Checkout,Checkout
8752269269,Communications,Communications
4021928120, Baggage,Baggage
2333945664,IRROPS,IRROPS
7650547137,Checkout,Checkout
3748862526,Mileage   Plus,Mileage Plus
4288010087,Check In,Check In
8646387952,Communications,Communications
7916748872,Post Flight,Post Flight
4754792346,Digital   Support,Digital Support
8248527694,Upgrade,Upgrade
8370009226,Mileage   Plus,Mileage Plus
2560410812,Voluntary  Cancel,Voluntary Cancel
3506152347,Voluntary   Change,Voluntary Change
6396575284,Post Flight,Post Flight
8850613795,Upgrade,Upgrade
1364537245,Booking,Booking
873442489,Booking,Booking
9682222544,Voluntary   Change,Voluntary Change
6154055520,IRROPS,IRROPS
9066942076,IRROPS,IRROPS
6175469461,Post Flight,Post Flight
2208482545,Post Flight,Post Flight
3195348900,Upgrade,Upgrade
1860113835,Seating,Seating
8104918573,ETC,ETC
6169785491,Voluntary   Change,Voluntary Change
8349540651,Mileage   Plus,Mileage Plus
9656410826,Products & Services,Products & Services
6062347990,Digital   Support,Digital Support
4831840075,IRROPS,IRROPS
3644508975,Voluntary   Change,Voluntary Change
3777145088,IRROPS,IRROPS
1921009834,ETC,ETC
8486001848,Voluntary  Cancel,Voluntary Cancel
6392162386,Booking,Booking
6429863409,Products & Services,Products & Services
5996542744,IRROPS,IRROPS
9977138327,Mileage   Plus,Mileage Plus
6756668322,Check In,Check In
7825347813,Communications,Communications
8502966098,Schedule Change,Schedule Change
2026080223,Communications,Communications
5720687391,Seating,Seating
9512148049,Booking,Booking
3950750222,Booking,Booking
8286652904,Upgrade,Upgrade
9262204602,IRROPS,IRROPS
7692676121,Mileage   Plus,Mileage Plus
6803937559,Communications,Communications
266985990,Post Flight,Post Flight
773151267,Products & Services,Products & Services
7493323122,Seating,Seating
9012394118,Seating,Seating
362750685,IRROPS,IRROPS
5981560581,ETC,ETC
1143829121,Seating,Seating
7059404951,Voluntary   Change,Voluntary Change
3383961401,Booking,Booking
2446607705,Schedule Change,Schedule Change
3991135980,Communications,Communications
470323524, Baggage,Baggage
2699774470,IRROPS,IRROPS
6768679104,Upgrade  ,Upgrade
5231674066,IRROPS,IRROPS
9991021433,IRROPS,IRROPS
6764809453,Voluntary   Change,Voluntary Change
5844224803,Post Flight,Post Flight
4817218180,IRROPS,IRROPS
8372195846,Voluntary   Change,Voluntary Change
6581525192,Voluntary   Change,Voluntary Change
5227016273,Mileage   Plus,Mileage Plus
2635661305,IRROPS,IRROPS
1973627202,Voluntary   Change,Voluntary Change
6289186261,Voluntary   Change,Voluntary Change
8986373828,Upgrade,Upgrade
5832281313,Communications,Communications
6028861355,Products & Services,Products & Services
2241239101, Baggage,Baggage
5408963287,IRROPS,IRROPS
6292077444,Seating,Seating
7303703267,IRROPS,IRROPS
4925500008,Check In,Check In
506312934, Baggage,Baggage
5345949369,IRROPS,IRROPS
4244937783,Voluntary   Change,Voluntary Change
7443211386,Products & Services,Products & Services
6952076532,Seating,Seating
3509632692,Upgrade,Upgrade
6054828967,IRROPS,IRROPS
2743963352,Mileage   Plus,Mileage Plus
3819142891,Seating,Seating
1781122902,IRROPS,IRROPS
5246955663,Seating,Seating
3639369357,IRROPS,IRROPS
4222807940,Traveler  Updates,Traveler Updates
1967322792,Voluntary   Change,Voluntary Change
155232998,Mileage   Plus,Mileage Plus
6631946379,IRROPS,IRROPS
1123904788,Mileage   Plus,Mileage Plus
4023633039,IRROPS,IRROPS
6046339813,Booking,Booking
6900851883,Voluntary   Change,Voluntary Change
5767478906,Seating,Seating
6659995723,IRROPS,IRROPS
547364376,Upgrade,Upgrade
9294844442,Post Flight,Post Flight
8290985178,Products & Services,Products & Services
4313685331,Checkout,Checkout
4375012633, Baggage,Baggage
1482850590,IRROPS,IRROPS
2025546675,Check In,Check In
293992815,IRROPS,IRROPS
9798879733,IRROPS,IRROPS
1600699534,Booking,Booking
4384969559,IRROPS,IRROPS
5859728512,Post Flight,Post Flight
9247766461,Communications,Communications
6378234977,Voluntary   Change,Voluntary Change
4428930222,Booking,Booking
2601941468,IRROPS,IRROPS
3759863743,IRROPS,IRROPS
8240278894,Mileage   Plus,Mileage Plus
7551584587,IRROPS,IRROPS
3365872644,Seating,Seating
8816273145,Check In,Check In
477231929,IRROPS,IRROPS
2938164842,IRROPS,IRROPS
2930379941,IRROPS,IRROPS
4261175355,Voluntary   Change,Voluntary Change
4075573598, Baggage,Baggage
2219337877,Digital   Support,Digital Support
2159618327,Voluntary   Change,Voluntary Change
2684846799,IRROPS,IRROPS
6883725065,Mileage   Plus,Mileage Plus
629589508,Voluntary   Change,Voluntary Change
9598034096,Voluntary   Change,Voluntary Change
799512934,IRROPS,IRROPS
7289613372,Seating,Seating
2110223673,Voluntary  Cancel,Voluntary Cancel
7648813153,Post Flight,Post Flight
1315927788,Upgrade,Upgrade
6803732981,Voluntary   Change,Voluntary Change
3707244052,IRROPS,IRROPS
110113510, Baggage,Baggage
641611522,Communications,Communications
8131828540,IRROPS,IRROPS
7220932488,Seating,Seating
8115658559,Upgrade,Upgrade
6258087915,Seating,Seating
9710781341,Booking,Booking
3826939907,Products & Services,Products & Services
8490938969,Post Flight,Post Flight
8730054794,Post Flight,Post Flight
1889587160,IRROPS,IRROPS
7743968149,IRROPS,IRROPS
3513793111,Voluntary   Change,Voluntary Change
5666367878,IRROPS,IRROPS
3008611562,Communications,Communications
8245050533,Seating,Seating
2458769648,Voluntary   Change,Voluntary Change
1784620848,Seating,Seating
4624041541,Post Flight,Post Flight
7230325525,Mileage   Plus,Mileage Plus
4946178668,Upgrade,Upgrade
3397117730,Seating,Seating
1474286295,Products & Services,Products & Services
2797353799,Checkout,Checkout
7778944962,Voluntary   Change,Voluntary Change
7155285920,IRROPS,IRROPS
7132443825,IRROPS,IRROPS
6341990054,Products & Services,Products & Services
5226875352,Mileage   Plus,Mileage Plus
6546179208,Products & Services,Products & Services
4036841348,Voluntary   Change,Voluntary Change
9384780326,IRROPS,IRROPS
3409270010,Seating,Seating
3573755634,IRROPS,IRROPS
5844600579,Booking,Booking
6790249357,IRROPS,IRROPS
8513208037,Voluntary   Change,Voluntary Change
7174026649,IRROPS,IRROPS
9523808268,IRROPS,IRROPS
5549013191,Post Flight,Post Flight
7123615610,IRROPS,IRROPS
2987351970,ETC,ETC
3355243007,Voluntary   Change,Voluntary Change
7341952760,Mileage   Plus,Mileage Plus
9772502045,Communications,Communications
2652362807,Voluntary   Change,Voluntary Change
9746064295,IRROPS,IRROPS
8313854909,Booking,Booking
3693330914,IRROPS,IRROPS
4326326785,IRROPS,IRROPS
380760544,Mileage   Plus,Mileage Plus
9920088113,Communications,Communications
3965997730,Voluntary  Cancel,Voluntary Cancel
4105180930,Mileage   Plus,Mileage Plus
7330107501,IRROPS,IRROPS
7738282291,Voluntary   Change,Voluntary Change
2590909415,Voluntary   Change,Voluntary Change
2985093760,Mileage   Plus,Mileage Plus
7335200990,IRROPS,IRROPS
3072744236,IRROPS  ,IRROPS
7108225667,Upgrade,Upgrade
2570160150,Voluntary   Change,Voluntary Change
5651850536,IRROPS,IRROPS
7412339540,Voluntary   Change,Voluntary Change
1529054189,Communications,Communications
1896040705,Products & Services,Products & Services
2618339048,Voluntary   Change,Voluntary Change
243041374,Booking,Booking
5108218875,Seating,Seating
6358933179,Voluntary   Change,Voluntary Change
2340525438,IRROPS,IRROPS
3259562522,Mileage   Plus,Mileage Plus
4408678836,IRROPS,IRROPS
3297807483,Checkout,Checkout
4587814,IRROPS,IRROPS
698299191,Upgrade,Upgrade
408773512,Products & Services,Products & Services
3858722740,IRROPS,IRROPS
1852815751,IRROPS,IRROPS
5403162875,Seating,Seating
2617215016,Checkout,Checkout
164929499,Upgrade,Upgrade
2489860364,Mileage   Plus,Mileage Plus
2908977873,IRROPS  ,IRROPS
5292465529,Mileage   Plus,Mileage Plus
1567620826,Voluntary  Cancel,Voluntary Cancel
1356942666,Seating,Seating
2231828620,Checkout,Checkout
2646448808,ETC,ETC
244711297,Voluntary   Change,Voluntary Change
8688543507,Seating,Seating
5941773360,Booking,Booking
1885918488,Seating,Seating
7210376837,Mileage   Plus,Mileage Plus
6860429508,Schedule Change,Schedule Change
6565077632,Voluntary   Change,Voluntary Change
28116487,Voluntary   Change,Voluntary Change
1574660319,ETC,ETC
2341489069,IRROPS,IRROPS
4723217884,Communications,Communications
8037411744,Upgrade,Upgrade
4806105556,IRROPS,IRROPS
9867548614,Communications,Communications
1152888432,Check In,Check In
6757716165,ETC,ETC
9025859512,Communications,Communications
3099904094,Post Flight,Post Flight
7065333742,Booking,Booking
2138554160,Voluntary   Change,Voluntary Change
8807579972,Voluntary   Change,Voluntary Change
2115724172,Mileage   Plus,Mileage Plus
7177682544,Seating,Seating
6007750243,IRROPS,IRROPS
8931488117,Seating,Seating
285872665,Voluntary   Change,Voluntary Change
5227099919,Seating,Seating
6318162051,Booking,Booking
2680481962,Voluntary   Change,Voluntary Change
6532607640,Voluntary   Change,Voluntary Change
8009092956,Upgrade,Upgrade
4416852233,Post Flight,Post Flight
8259382713,Voluntary   Change,Voluntary Change
1765808092,Traveler  Updates,Traveler Updates
7252849057,Communications,Communications
6901295904,Mileage   Plus,Mileage Plus
1152841380,Voluntary   Change,Voluntary Change
8943706898,Mileage   Plus,Mileage Plus
1286975658,Voluntary   Change,Voluntary Change
3519540968,Digital   Support,Digital Support
2950155979,IRROPS,IRROPS
6074184380,Mileage   Plus,Mileage Plus
2579245624,Post Flight,Post Flight
1589048482, Baggage,Baggage
1797691475,Voluntary   Change,Voluntary Change
8971220589,Checkout,Checkout
8646525394,ETC,ETC
349298992,IRROPS,IRROPS
124921990,Post Flight,Post Flight
7274946822,Products & Services,Products & Services
4377594716,IRROPS,IRROPS
916141562,Upgrade,Upgrade
7002981480,ETC,ETC
7417032874,IRROPS,IRROPS
7908218136,Voluntary   Change,Voluntary Change
6652643630,Voluntary   Change,Voluntary Change
2885863889,Upgrade,Upgrade
4241671863,ETC,ETC
8502163449,Communications,Communications
8505200817,Seating,Seating
2891938976,Seating,Seating
7151831803,Mileage   Plus,Mileage Plus
5505014538,IRROPS,IRROPS
9985140841,IRROPS,IRROPS
3250924452,Products & Services,Products & Services
9550752104,Voluntary   Change,Voluntary Change
3482464830,Products & Services,Products & Services
4367348751,Voluntary   Change,Voluntary Change
1483057112,Checkout,Checkout
369436965,Voluntary   Change,Voluntary Change
7473599218,Booking,Booking
3482106201,Post Flight,Post Flight
2836711344,Seating,Seating
9812212680,Traveler  Updates,Traveler Updates
9814169284,Voluntary  Cancel,Voluntary Cancel
2406283191,Communications,Communications
2203622082,Mileage   Plus,Mileage Plus
3222990735,IRROPS,IRROPS
8444444828,Mileage   Plus,Mileage Plus
2108333386, Baggage,Baggage
4355503019,Seating,Seating
7657211895,Disability,Disability
6489227011,Post Flight,Post Flight
3512280672,IRROPS,IRROPS
5869940622,Seating,Seating
4633464912,Digital   Support,Digital Support
1746979607,IRROPS,IRROPS
6982659140,IRROPS,IRROPS
3256707579,Checkout,Checkout
3730154972,Booking,Booking
6606952927,Post Flight,Post Flight
2913924991,Products & Services,Products & Services
8985676953,Post Flight,Post Flight
6051837503,Booking,Booking
5503083666,IRROPS,IRROPS
4159369410,Voluntary   Change,Voluntary Change
2600260910,Post Flight,Post Flight
3625791382,Mileage   Plus,Mileage Plus
2547063095,Voluntary  Cancel,Voluntary Cancel
9410833334,Voluntary   Change,Voluntary Change
6171015031,Seating,Seating
4561672564,IRROPS,IRROPS
8915582381,Voluntary   Change,Voluntary Change
2237287661,Voluntary   Change,Voluntary Change
3949332690,Voluntary   Change,Voluntary Change
1205527857,IRROPS,IRROPS
5452416063,Voluntary   Change,Voluntary Change
1304160316, Baggage,Baggage
7116157273,Voluntary  Cancel,Voluntary Cancel
4624279867,Mileage   Plus,Mileage Plus
2064147009,Products & Services,Products & Services
9081681648,Mileage   Plus,Mileage Plus
1531879729,Products & Services,Products & Services
635173784,Communications,Communications
2275412977,Voluntary   Change,Voluntary Change
333885267,Voluntary   Change,Voluntary Change
9739390322,Communications,Communications
4598734236,Mileage   Plus,Mileage Plus
5614887597,Post Flight,Post Flight
4728315975,Communications,Communications
5018668396,Seating,Seating
7450085028,Seating,Seating
233603443,Voluntary   Change,Voluntary Change
7358505370,Booking,Booking
1661408205,Upgrade,Upgrade
1361690384,Voluntary   Change,Voluntary Change
4170423029,Digital   Support,Digital Support
6490349725,Voluntary   Change,Voluntary Change
6137657306,IRROPS,IRROPS
8061645751,IRROPS,IRROPS
4565501488,Voluntary   Change,Voluntary Change
5285993443, Baggage,Baggage
8964239511,IRROPS,IRROPS
8566871161,Voluntary   Change,Voluntary Change
905600606,Voluntary   Change,Voluntary Change
9001080118,Voluntary   Change,Voluntary Change
9025228897,Seating,Seating
7196265895,Mileage   Plus,Mileage Plus
2423265753,Seating,Seating
1033823685,Voluntary  Cancel,Voluntary Cancel
3333139679,Mileage   Plus,Mileage Plus
7715755246,Booking,Booking
5007669994,IRROPS,IRROPS
7813235037,IRROPS,IRROPS
3728320909,Seating,Seating
8288589162,IRROPS,IRROPS
2631144078,Voluntary   Change,Voluntary Change
4396640451,Products & Services,Products & Services
5270862294,Booking,Booking
2951842288,Other  Topics,Other Topics
777934134,Upgrade,Upgrade
789605690,Voluntary   Change,Voluntary Change
7781356755,Voluntary   Change,Voluntary Change
400511844,Upgrade,Upgrade
112234713,Communications,Communications
440115346,IRROPS,IRROPS
4634242683,IRROPS,IRROPS
